"Label (Grouping)","Census Tract 3120, Harris County, Texas!!Households!!Estimate","Census Tract 3120, Harris County, Texas!!Households!!Margin of Error","Census Tract 3120, Harris County, Texas!!Families!!Estimate","Census Tract 3120, Harris County, Texas!!Families!!Margin of Error","Census Tract 3120, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3120, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3120, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3120, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3121, Harris County, Texas!!Households!!Estimate","Census Tract 3121, Harris County, Texas!!Households!!Margin of Error","Census Tract 3121, Harris County, Texas!!Families!!Estimate","Census Tract 3121, Harris County, Texas!!Families!!Margin of Error","Census Tract 3121, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3121, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3121, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3121, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3122, Harris County, Texas!!Households!!Estimate","Census Tract 3122, Harris County, Texas!!Households!!Margin of Error","Census Tract 3122, Harris County, Texas!!Families!!Estimate","Census Tract 3122, Harris County, Texas!!Families!!Margin of Error","Census Tract 3122, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3122, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3122, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3122, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3123, Harris County, Texas!!Households!!Estimate","Census Tract 3123, Harris County, Texas!!Households!!Margin of Error","Census Tract 3123, Harris County, Texas!!Families!!Estimate","Census Tract 3123, Harris County, Texas!!Families!!Margin of Error","Census Tract 3123, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3123, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3123, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3123, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3124, Harris County, Texas!!Households!!Estimate","Census Tract 3124, Harris County, Texas!!Households!!Margin of Error","Census Tract 3124, Harris County, Texas!!Families!!Estimate","Census Tract 3124, Harris County, Texas!!Families!!Margin of Error","Census Tract 3124, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3124, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3124, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3124, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3127, Harris County, Texas!!Households!!Estimate","Census Tract 3127, Harris County, Texas!!Households!!Margin of Error","Census Tract 3127, Harris County, Texas!!Families!!Estimate","Census Tract 3127, Harris County, Texas!!Families!!Margin of Error","Census Tract 3127, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3127, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3127, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3127, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3128, Harris County, Texas!!Households!!Estimate","Census Tract 3128, Harris County, Texas!!Households!!Margin of Error","Census Tract 3128, Harris County, Texas!!Families!!Estimate","Census Tract 3128, Harris County, Texas!!Families!!Margin of Error","Census Tract 3128, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3128, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3128, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3128, Harris County, Texas!!Nonfamily households!!Margin of Error"
"Total","1,041","±161","355","±76","254","±68","686","±156","0","±127","0","±127","0","±127","0","±127","913","±124","442","±117","148","±60","471","±142","657","±103","319","±119","86","±57","338","±107","840","±157","377","±118","200","±98","463","±162","1,001","±117","421","±98","240","±86","580","±149","858","±97","450","±103","51","±36","408","±111"
"Less than $10,000","26.5%","±9.2","5.1%","±5.8","0.0%","±13.7","37.6%","±13.0","-","**","-","**","-","**","-","**","48.7%","±10.8","38.5%","±17.7","29.1%","±32.4","58.4%","±17.4","27.9%","±10.9","19.7%","±18.3","0.0%","±33.7","35.5%","±17.5","33.9%","±11.6","23.3%","±17.1","2.0%","±10.6","42.5%","±15.0","9.0%","±6.4","1.9%","±2.7","0.0%","±14.4","14.1%","±10.3","50.5%","±11.9","46.0%","±17.0","0.0%","±44.6","55.4%","±16.6"
"$10,000 to $14,999","6.1%","±5.7","3.4%","±5.8","0.0%","±13.7","9.3%","±8.8","-","**","-","**","-","**","-","**","17.2%","±7.7","21.0%","±12.2","29.7%","±23.9","13.6%","±11.2","19.6%","±10.3","3.8%","±7.0","0.0%","±33.7","34.6%","±16.9","11.2%","±8.6","2.4%","±4.7","0.0%","±17.0","18.4%","±15.3","15.4%","±7.6","0.0%","±8.5","0.0%","±14.4","26.6%","±12.6","20.5%","±8.6","22.7%","±14.3","43.1%","±45.5","18.1%","±10.2"
"$15,000 to $24,999","21.0%","±10.2","17.5%","±14.5","9.8%","±10.4","22.9%","±13.2","-","**","-","**","-","**","-","**","14.9%","±6.1","26.5%","±11.4","16.9%","±19.5","4.0%","±4.7","9.3%","±7.1","15.4%","±13.0","23.3%","±25.9","3.6%","±5.4","14.5%","±9.1","19.9%","±14.6","21.5%","±23.2","10.2%","±10.0","11.9%","±7.9","12.6%","±12.0","0.0%","±14.4","12.9%","±11.3","8.4%","±6.5","9.3%","±10.0","7.8%","±13.3","7.4%","±7.6"
"$25,000 to $34,999","7.7%","±5.4","2.8%","±4.2","3.9%","±5.9","10.2%","±7.9","-","**","-","**","-","**","-","**","4.9%","±4.8","4.8%","±5.4","8.8%","±14.8","5.1%","±8.8","18.0%","±13.0","16.3%","±13.8","27.9%","±28.5","19.5%","±20.0","14.8%","±9.3","21.2%","±18.2","26.0%","±23.8","9.5%","±7.8","8.6%","±6.6","10.5%","±10.5","15.4%","±17.3","7.2%","±8.0","10.1%","±8.0","12.0%","±12.4","0.0%","±44.6","16.2%","±13.9"
"$35,000 to $49,999","3.9%","±3.7","0.0%","±10.0","0.0%","±13.7","4.2%","±4.2","-","**","-","**","-","**","-","**","6.8%","±5.2","4.3%","±5.4","7.4%","±11.7","9.1%","±8.8","12.8%","±10.0","26.3%","±17.7","0.0%","±33.7","0.0%","±10.5","18.6%","±10.2","17.5%","±15.8","26.5%","±24.9","19.4%","±14.3","14.2%","±9.1","18.5%","±12.6","20.8%","±18.3","11.0%","±11.8","1.4%","±2.2","0.0%","±8.0","0.0%","±44.6","2.9%","±4.6"
"$50,000 to $74,999","11.0%","±7.0","7.6%","±7.0","5.5%","±6.8","12.8%","±10.7","-","**","-","**","-","**","-","**","5.0%","±3.7","5.0%","±5.7","8.1%","±13.3","5.1%","±6.4","3.5%","±4.7","7.2%","±9.1","19.8%","±30.6","0.0%","±10.5","4.5%","±3.6","10.1%","±7.8","13.5%","±14.4","0.0%","±7.8","18.8%","±8.2","16.2%","±10.6","14.2%","±12.7","19.1%","±12.1","5.6%","±6.4","3.3%","±3.1","0.0%","±44.6","0.0%","±8.8"
"$75,000 to $99,999","3.1%","±2.8","6.2%","±6.5","3.1%","±4.8","1.5%","±2.5","-","**","-","**","-","**","-","**","0.0%","±4.0","0.0%","±8.1","0.0%","±22.1","0.0%","±7.6","2.9%","±3.1","3.1%","±4.8","11.6%","±18.4","2.7%","±4.2","0.0%","±4.4","0.0%","±9.5","0.0%","±17.0","0.0%","±7.8","13.3%","±6.7","22.3%","±13.7","21.7%","±16.1","6.7%","±6.6","0.0%","±4.3","0.0%","±8.0","0.0%","±44.6","0.0%","±8.8"
"$100,000 to $149,999","9.5%","±5.4","25.1%","±13.8","32.3%","±16.7","1.5%","±2.2","-","**","-","**","-","**","-","**","1.2%","±1.8","0.0%","±8.1","0.0%","±22.1","2.3%","±3.5","3.5%","±4.6","8.2%","±9.6","17.4%","±26.1","2.4%","±4.6","1.4%","±2.6","3.2%","±5.5","6.0%","±10.2","0.0%","±7.8","7.6%","±6.0","18.1%","±12.9","27.9%","±22.0","0.0%","±6.3","1.2%","±2.7","2.2%","±5.0","9.8%","±22.2","0.0%","±8.8"
"$150,000 to $199,999","6.0%","±4.9","17.5%","±13.4","24.4%","±18.5","0.0%","±5.3","-","**","-","**","-","**","-","**","1.2%","±2.0","0.0%","±8.1","0.0%","±22.1","2.3%","±3.9","2.6%","±4.0","0.0%","±11.1","0.0%","±33.7","1.8%","±5.5","1.1%","±2.3","2.4%","±4.9","4.5%","±9.4","0.0%","±7.8","1.3%","±2.0","0.0%","±8.5","0.0%","±14.4","2.2%","±3.5","2.3%","±3.4","4.4%","±6.7","39.2%","±48.0","0.0%","±8.8"
