"Label (Grouping)","Census Tract 3120, Harris County, Texas!!Households!!Estimate","Census Tract 3120, Harris County, Texas!!Households!!Margin of Error","Census Tract 3120, Harris County, Texas!!Families!!Estimate","Census Tract 3120, Harris County, Texas!!Families!!Margin of Error","Census Tract 3120, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3120, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3120, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3120, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3122, Harris County, Texas!!Households!!Estimate","Census Tract 3122, Harris County, Texas!!Households!!Margin of Error","Census Tract 3122, Harris County, Texas!!Families!!Estimate","Census Tract 3122, Harris County, Texas!!Families!!Margin of Error","Census Tract 3122, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3122, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3122, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3122, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3123, Harris County, Texas!!Households!!Estimate","Census Tract 3123, Harris County, Texas!!Households!!Margin of Error","Census Tract 3123, Harris County, Texas!!Families!!Estimate","Census Tract 3123, Harris County, Texas!!Families!!Margin of Error","Census Tract 3123, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3123, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3123, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3123, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3124, Harris County, Texas!!Households!!Estimate","Census Tract 3124, Harris County, Texas!!Households!!Margin of Error","Census Tract 3124, Harris County, Texas!!Families!!Estimate","Census Tract 3124, Harris County, Texas!!Families!!Margin of Error","Census Tract 3124, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3124, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3124, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3124, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3127, Harris County, Texas!!Households!!Estimate","Census Tract 3127, Harris County, Texas!!Households!!Margin of Error","Census Tract 3127, Harris County, Texas!!Families!!Estimate","Census Tract 3127, Harris County, Texas!!Families!!Margin of Error","Census Tract 3127, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3127, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3127, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3127, Harris County, Texas!!Nonfamily households!!Margin of Error","Census Tract 3128, Harris County, Texas!!Households!!Estimate","Census Tract 3128, Harris County, Texas!!Households!!Margin of Error","Census Tract 3128, Harris County, Texas!!Families!!Estimate","Census Tract 3128, Harris County, Texas!!Families!!Margin of Error","Census Tract 3128, Harris County, Texas!!Married-couple families!!Estimate","Census Tract 3128, Harris County, Texas!!Married-couple families!!Margin of Error","Census Tract 3128, Harris County, Texas!!Nonfamily households!!Estimate","Census Tract 3128, Harris County, Texas!!Nonfamily households!!Margin of Error"
"Total","672","±129","409","±100","317","±87","263","±92","626","±90","297","±77","47","±38","329","±95","911","±120","422","±89","249","±85","489","±115","966","±268","525","±268","101","±58","441","±115","1,136","±227","464","±138","249","±113","672","±204","689","±85","318","±92","22","±17","371","±80"
"    Less than $10,000","10.1%","±6.1","0.0%","±10.4","0.0%","±13.2","25.9%","±14.8","23.8%","±10.7","24.6%","±14.4","0.0%","±50.9","23.1%","±14.3","6.9%","±4.5","7.8%","±8.1","0.0%","±16.5","9.0%","±6.8","35.3%","±19.4","37.7%","±32.2","5.0%","±9.1","32.4%","±18.1","5.5%","±4.7","0.9%","±1.3","0.0%","±16.5","8.8%","±7.9","35.3%","±8.6","21.4%","±14.7","36.4%","±49.9","47.2%","±12.4"
"    $10,000 to $14,999","2.5%","±2.3","0.0%","±10.4","0.0%","±13.2","6.5%","±6.1","7.7%","±5.3","4.7%","±7.2","0.0%","±50.9","10.3%","±8.0","11.9%","±5.5","5.9%","±5.9","4.8%","±7.2","17.0%","±8.3","4.8%","±4.1","1.0%","±2.2","0.0%","±34.2","10.4%","±8.7","4.5%","±4.0","4.3%","±4.8","1.6%","±3.0","4.6%","±5.9","11.6%","±6.2","13.8%","±10.0","22.7%","±39.2","9.7%","±6.8"
"    $15,000 to $24,999","4.3%","±3.8","0.0%","±10.4","0.0%","±13.2","11.0%","±10.2","17.3%","±8.5","14.1%","±11.7","36.2%","±46.3","23.1%","±13.8","12.2%","±6.7","11.4%","±8.7","7.2%","±6.5","14.9%","±10.2","15.6%","±10.1","16.2%","±14.3","0.0%","±34.2","15.0%","±11.0","4.8%","±3.9","2.4%","±2.2","1.6%","±2.6","6.5%","±5.9","15.4%","±7.6","16.7%","±12.5","0.0%","±74.4","14.3%","±9.5"
"    $25,000 to $34,999","3.3%","±2.5","3.7%","±3.9","1.9%","±3.0","2.7%","±4.0","9.7%","±7.0","5.7%","±8.9","0.0%","±50.9","13.4%","±10.4","7.1%","±4.1","7.8%","±7.0","2.8%","±4.4","4.9%","±4.6","11.9%","±8.5","6.3%","±6.2","0.0%","±34.2","18.6%","±17.2","6.4%","±3.4","6.7%","±6.0","0.0%","±16.5","6.3%","±4.1","10.3%","±7.2","10.4%","±11.3","0.0%","±74.4","10.2%","±9.1"
"    $35,000 to $49,999","14.6%","±10.4","6.1%","±5.3","5.7%","±5.7","27.8%","±22.6","20.1%","±10.0","27.9%","±15.5","29.8%","±40.3","13.1%","±10.5","16.2%","±6.7","11.8%","±8.4","5.6%","±8.1","17.2%","±9.7","12.6%","±9.1","20.6%","±17.5","45.5%","±34.4","2.0%","±3.2","8.8%","±5.2","4.3%","±5.0","2.4%","±3.4","11.9%","±8.9","13.2%","±8.8","18.6%","±17.2","0.0%","±74.4","8.6%","±6.1"
"    $50,000 to $74,999","11.3%","±5.1","14.4%","±8.2","11.7%","±7.5","6.5%","±6.4","14.7%","±7.7","11.1%","±12.1","0.0%","±50.9","14.9%","±10.9","8.0%","±4.5","3.1%","±3.9","0.0%","±16.5","11.9%","±7.2","7.1%","±7.8","6.5%","±10.4","0.0%","±34.2","7.9%","±11.7","23.9%","±8.7","29.5%","±14.4","12.4%","±11.0","19.9%","±11.3","6.8%","±5.1","13.2%","±6.8","22.7%","±35.2","8.4%","±7.5"
"    $75,000 to $99,999","19.9%","±9.8","26.4%","±13.7","26.8%","±17.8","12.5%","±11.7","1.1%","±1.5","0.0%","±14.0","0.0%","±50.9","2.1%","±3.0","13.1%","±7.9","14.0%","±9.0","21.3%","±14.5","12.3%","±12.7","4.5%","±4.0","5.3%","±6.1","22.8%","±29.2","5.7%","±6.3","13.6%","±11.3","8.8%","±9.8","16.5%","±17.7","17.0%","±17.2","0.9%","±2.1","0.0%","±13.2","0.0%","±74.4","1.6%","±3.6"
"    $100,000 to $149,999","8.9%","±5.5","13.2%","±8.6","10.4%","±8.8","2.3%","±3.9","5.6%","±5.2","11.8%","±10.4","34.0%","±36.9","0.0%","±12.8","10.2%","±4.7","12.1%","±7.3","16.1%","±10.5","9.6%","±7.1","5.5%","±3.4","3.6%","±4.3","11.9%","±19.4","5.4%","±5.8","11.3%","±5.8","14.0%","±10.6","16.1%","±13.8","9.4%","±6.2","5.1%","±2.4","2.8%","±3.3","18.2%","±28.0","0.0%","±11.4"
"    $150,000 to $199,999","11.6%","±4.6","14.2%","±8.5","18.0%","±10.3","4.9%","±5.5","0.0%","±6.9","0.0%","±14.0","0.0%","±50.9","0.0%","±12.8","11.0%","±4.8","22.5%","±9.8","38.2%","±15.3","1.0%","±1.4","1.6%","±2.4","2.9%","±4.8","14.9%","±23.9","0.0%","±9.7","2.9%","±2.2","5.0%","±4.8","9.2%","±8.9","1.5%","±2.3","0.0%","±6.3","3.1%","±4.7","0.0%","±74.4","0.0%","±11.4"
