"Label (Grouping)","Census Tract 3120, Harris County, Texas!!Estimate","Census Tract 3120, Harris County, Texas!!Margin of Error","Census Tract 3122, Harris County, Texas!!Estimate","Census Tract 3122, Harris County, Texas!!Margin of Error","Census Tract 3123, Harris County, Texas!!Estimate","Census Tract 3123, Harris County, Texas!!Margin of Error","Census Tract 3124, Harris County, Texas!!Estimate","Census Tract 3124, Harris County, Texas!!Margin of Error","Census Tract 3127, Harris County, Texas!!Estimate","Census Tract 3127, Harris County, Texas!!Margin of Error","Census Tract 3128, Harris County, Texas!!Estimate","Census Tract 3128, Harris County, Texas!!Margin of Error"
"Total:","4,031","±763","1,516","±300","2,084","±368","2,400","±964","2,296","±485","2,643","±375"
"    Native:","3,440","±670","1,396","±264","1,857","±360","2,376","±961","2,093","±437","2,362","±382"
"        Born in state of residence","2,443","±503","1,202","±253","1,343","±337","1,766","±659","1,400","±358","1,829","±338"
"        Born in other state in the United States:","964","±229","194","±85","473","±138","570","±345","637","±209","512","±145"
"            Northeast","116","±67","7","±13","33","±30","29","±36","218","±150","33","±34"
"            Midwest","86","±39","25","±30","56","±36","40","±37","21","±16","45","±36"
"            South","393","±129","143","±68","263","±97","497","±343","239","±115","306","±124"
"            West","369","±136","19","±22","121","±82","4","±9","159","±80","128","±67"
"        Born outside the United States:","33","±28","0","±14","41","±31","40","±63","56","±78","21","±27"
"            Puerto Rico","0","±14","0","±14","0","±14","0","±14","8","±12","0","±14"
"            U.S. Island Areas","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Born abroad of American parent(s)","33","±28","0","±14","41","±31","40","±63","48","±77","21","±27"
"    Foreign born:","591","±155","120","±110","227","±82","24","±34","203","±115","281","±97"
"        Naturalized U.S. citizen","123","±60","29","±35","77","±44","24","±34","137","±102","91","±47"
"            Europe","5","±10","0","±14","4","±8","0","±14","8","±12","0","±14"
"            Asia","77","±50","0","±14","54","±38","0","±14","80","±91","28","±34"
"            Africa","8","±9","0","±14","2","±5","0","±14","11","±19","26","±25"
"            Oceania","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Latin America","28","±34","29","±35","11","±13","24","±34","38","±38","37","±18"
"            Northern America","5","±9","0","±14","6","±9","0","±14","0","±14","0","±14"
"        Not a U.S. citizen","468","±136","91","±103","150","±67","0","±14","66","±55","190","±80"
"            Europe","25","±23","0","±14","34","±27","0","±14","15","±20","4","±6"
"            Asia","289","±126","0","±14","38","±34","0","±14","16","±23","86","±35"
"            Africa","50","±41","0","±14","0","±14","0","±14","0","±14","34","±34"
"            Oceania","0","±14","0","±14","0","±14","0","±14","0","±14","0","±14"
"            Latin America","85","±49","91","±103","78","±50","0","±14","27","±29","66","±47"
"            Northern America","19","±26","0","±14","0","±14","0","±14","8","±13","0","±14"
